Applying branch and bound with tau=1.000000e+01
************************************************************************************
Explored nodes: 1000000
Leaves: 10000
Node [16038>16039] {3.008355e-01}-{5.840000e+02}-{{0:99}{1:42}{2:100}}
Node [16137>16138] {2.459379e-01}-{6.020000e+02}-{{0:99}{1:41}{2:100}}
Node [16236>16237] {3.029338e-01}-{5.900000e+02}-{{0:99}{1:40}{2:100}}
Node [16335>16336] {2.412009e-01}-{7.080000e+02}-{{0:99}{1:39}{2:100}}
Node [16434>16435] {3.094899e-01}-{6.640000e+02}-{{0:99}{1:38}{2:100}}
Node [16533>16534] {2.403113e-01}-{7.060000e+02}-{{0:99}{1:37}{2:100}}
Node [16632>16633] {3.122918e-01}-{6.790000e+02}-{{0:99}{1:36}{2:100}}
Node [16731>16732] {2.393233e-01}-{7.190000e+02}-{{0:99}{1:35}{2:100}}
Node [16830>16831] {3.154173e-01}-{6.660000e+02}-{{0:99}{1:34}{2:100}}
Node [16929>16930] {2.413895e-01}-{8.850000e+02}-{{0:99}{1:33}{2:100}}
Node [17028>17029] {3.240504e-01}-{8.240000e+02}-{{0:99}{1:32}{2:100}}
Node [17127>17128] {2.403517e-01}-{8.640000e+02}-{{0:99}{1:31}{2:100}}
Node [17226>17227] {3.283563e-01}-{8.160000e+02}-{{0:99}{1:30}{2:100}}
Node [17325>17326] {2.391770e-01}-{8.550000e+02}-{{0:99}{1:29}{2:100}}
Node [17424>17425] {3.373758e-01}-{9.330000e+02}-{{0:99}{1:28}{2:100}}
Node [17523>17524] {2.335728e-01}-{9.410000e+02}-{{0:99}{1:27}{2:100}}
Node [17622>17623] {3.433361e-01}-{9.370000e+02}-{{0:99}{1:26}{2:100}}
Node [17721>17722] {2.316890e-01}-{9.490000e+02}-{{0:99}{1:25}{2:100}}
Node [17820>17821] {3.553909e-01}-{1.074000e+03}-{{0:99}{1:24}{2:100}}
Node [17919>17920] {2.348384e-01}-{1.188000e+03}-{{0:99}{1:23}{2:100}}
Node [18018>18019] {3.680819e-01}-{1.148000e+03}-{{0:99}{1:22}{2:100}}
Node [18117>18118] {2.284863e-01}-{1.212000e+03}-{{0:99}{1:21}{2:100}}
Node [18216>18217] {3.787848e-01}-{1.128000e+03}-{{0:99}{1:20}{2:100}}
Node [18315>18316] {2.288436e-01}-{1.332000e+03}-{{0:99}{1:19}{2:100}}
Node [18414>18415] {4.013315e-01}-{1.354000e+03}-{{0:99}{1:18}{2:100}}
Node [18513>18514] {2.213262e-01}-{1.419000e+03}-{{0:99}{1:17}{2:100}}
Node [18612>18613] {4.238008e-01}-{1.487000e+03}-{{0:99}{1:16}{2:100}}
Node [18711>18712] {2.180894e-01}-{1.650000e+03}-{{0:99}{1:15}{2:100}}
Node [18810>18811] {4.561030e-01}-{1.713000e+03}-{{0:99}{1:14}{2:100}}
Node [18909>18910] {2.117447e-01}-{2.008000e+03}-{{0:99}{1:13}{2:100}}
Node [19008>19009] {4.974440e-01}-{1.905000e+03}-{{0:99}{1:12}{2:100}}
Node [19107>19108] {2.085488e-01}-{2.258000e+03}-{{0:99}{1:11}{2:100}}
Node [19206>19207] {5.576705e-01}-{2.233000e+03}-{{0:99}{1:10}{2:100}}
Node [19305>19306] {1.985328e-01}-{2.743000e+03}-{{0:99}{1:9}{2:100}}
Node [19404>19405] {6.547689e-01}-{2.792000e+03}-{{0:99}{1:8}{2:100}}
Node [19503>19504] {1.845356e-01}-{3.372000e+03}-{{0:99}{1:7}{2:100}}
Node [19602>19603] {8.249021e-01}-{3.751000e+03}-{{0:99}{1:6}{2:100}}
Node [19701>19702] {1.551320e-01}-{4.616000e+03}-{{0:99}{1:5}{2:100}}
Node [19800>19801] {1.172696e+00}-{5.490000e+03}-{{0:99}{1:4}{2:100}}
Node [19899>19900] {1.118068e-01}-{7.726000e+03}-{{0:99}{1:3}{2:100}}
Node [19998>19999] {2.282862e+00}-{1.083600e+04}-{{0:99}{1:2}{2:100}}
Node [20097>20098] {4.468712e-02}-{1.798600e+04}-{{0:99}{1:1}{2:100}}
Node [20295>20296] {2.661660e-01}-{2.530000e+02}-{{0:98}{1:100}{2:100}}
Node [20394>20395] {2.532166e-01}-{4.630000e+02}-{{0:98}{1:99}{2:100}}
Node [20493>20494] {2.713488e-01}-{5.170000e+02}-{{0:98}{1:98}{2:100}}
Node [20592>20593] {2.531164e-01}-{4.070000e+02}-{{0:98}{1:97}{2:100}}
Node [20691>20692] {2.716215e-01}-{3.920000e+02}-{{0:98}{1:96}{2:100}}
Node [20790>20791] {2.530121e-01}-{4.120000e+02}-{{0:98}{1:95}{2:100}}
Node [20889>20890] {2.719056e-01}-{3.740000e+02}-{{0:98}{1:94}{2:100}}
Node [20988>20989] {2.529033e-01}-{4.000000e+02}-{{0:98}{1:93}{2:100}}
Node [21087>21088] {2.722020e-01}-{3.720000e+02}-{{0:98}{1:92}{2:100}}
Node [21186>21187] {2.527899e-01}-{4.210000e+02}-{{0:98}{1:91}{2:100}}
Node [21285>21286] {2.725115e-01}-{3.830000e+02}-{{0:98}{1:90}{2:100}}
