Loading object:fap.o
Applying branch and bound with tau=1.000000e-03
************************************************************************************
Explored nodes: 39033
Leaves: 2300
Node [3220>3221] {6.406903e-04}-{{0:42}{1:7}{2:16}}
Node [3236>3237] {6.406903e-04}-{{0:42}{1:6}{2:16}}
Node [3252>3253] {6.406903e-04}-{{0:42}{1:5}{2:16}}
Node [3268>3269] {6.406903e-04}-{{0:42}{1:4}{2:16}}
Node [3284>3285] {6.406903e-04}-{{0:42}{1:3}{2:16}}
Node [3300>3301] {6.406903e-04}-{{0:42}{1:2}{2:16}}
Node [3316>3317] {6.406903e-04}-{{0:42}{1:1}{2:16}}
Node [3332>3333] {6.406903e-04}-{{0:42}{1:0}{2:16}}
Node [3398>3399] {8.015633e-04}-{{0:41}{1:49}{2:17}}
Node [3414>3415] {5.636215e-04}-{{0:41}{1:48}{2:16}}
Node [3430>3431] {5.812645e-04}-{{0:41}{1:47}{2:16}}
Node [3446>3447] {5.815029e-04}-{{0:41}{1:46}{2:16}}
Node [3462>3463] {5.815029e-04}-{{0:41}{1:45}{2:16}}
Node [3478>3479] {5.815029e-04}-{{0:41}{1:44}{2:16}}
Node [3494>3495] {5.815029e-04}-{{0:41}{1:43}{2:16}}
Node [3510>3511] {5.815029e-04}-{{0:41}{1:42}{2:16}}
Node [3526>3527] {5.815029e-04}-{{0:41}{1:41}{2:16}}
Node [3542>3543] {5.815029e-04}-{{0:41}{1:40}{2:16}}
Node [3558>3559] {5.815029e-04}-{{0:41}{1:39}{2:16}}
Node [3574>3575] {5.815029e-04}-{{0:41}{1:38}{2:16}}
Node [3590>3591] {5.815029e-04}-{{0:41}{1:37}{2:16}}
Node [3606>3607] {5.815029e-04}-{{0:41}{1:36}{2:16}}
Node [3622>3623] {5.815029e-04}-{{0:41}{1:35}{2:16}}
Node [3638>3639] {5.815029e-04}-{{0:41}{1:34}{2:16}}
Node [3654>3655] {5.815029e-04}-{{0:41}{1:33}{2:16}}
Node [3670>3671] {5.815029e-04}-{{0:41}{1:32}{2:16}}
Node [3686>3687] {5.815029e-04}-{{0:41}{1:31}{2:16}}
Node [3702>3703] {5.815029e-04}-{{0:41}{1:30}{2:16}}
Node [3718>3719] {5.815029e-04}-{{0:41}{1:29}{2:16}}
Node [3734>3735] {5.815029e-04}-{{0:41}{1:28}{2:16}}
Node [3750>3751] {5.815029e-04}-{{0:41}{1:27}{2:16}}
Node [3766>3767] {5.815029e-04}-{{0:41}{1:26}{2:16}}
Node [3782>3783] {5.815029e-04}-{{0:41}{1:25}{2:16}}
Node [3798>3799] {5.815029e-04}-{{0:41}{1:24}{2:16}}
Node [3814>3815] {5.815029e-04}-{{0:41}{1:23}{2:16}}
Node [3830>3831] {5.815029e-04}-{{0:41}{1:22}{2:16}}
Node [3846>3847] {5.815029e-04}-{{0:41}{1:21}{2:16}}
Node [3862>3863] {5.815029e-04}-{{0:41}{1:20}{2:16}}
Node [3878>3879] {5.815029e-04}-{{0:41}{1:19}{2:16}}
Node [3894>3895] {5.815029e-04}-{{0:41}{1:18}{2:16}}
Node [3910>3911] {5.815029e-04}-{{0:41}{1:17}{2:16}}
Node [3926>3927] {5.815029e-04}-{{0:41}{1:16}{2:16}}
Node [3942>3943] {5.815029e-04}-{{0:41}{1:15}{2:16}}
Node [3958>3959] {5.815029e-04}-{{0:41}{1:14}{2:16}}
Node [3974>3975] {5.815029e-04}-{{0:41}{1:13}{2:16}}
Node [3990>3991] {5.815029e-04}-{{0:41}{1:12}{2:16}}
Node [4006>4007] {5.815029e-04}-{{0:41}{1:11}{2:16}}
Node [4022>4023] {5.815029e-04}-{{0:41}{1:10}{2:16}}
Node [4038>4039] {5.815029e-04}-{{0:41}{1:9}{2:16}}
Node [4054>4055] {5.815029e-04}-{{0:41}{1:8}{2:16}}
Node [4070>4071] {5.815029e-04}-{{0:41}{1:7}{2:16}}
Node [4086>4087] {5.815029e-04}-{{0:41}{1:6}{2:16}}
